id,side,price,qty
1,SELL,103,96
2,SELL,103,78
3,BUY,101,16
4,SELL,96,10
5,SELL,100,87
6,SELL,101,15
7,BUY,102,3
8,SELL,105,73
9,BUY,105,22
10,SELL,97,100
11,SELL,101,31
12,BUY,100,1
13,SELL,95,30
14,BUY,101,40
15,SELL,95,30
16,BUY,99,24
17,SELL,95,79
18,BUY,97,39
19,BUY,105,60
20,SELL,95,86
21,BUY,102,18
22,SELL,95,2
23,BUY,105,97
24,BUY,103,39
25,SELL,95,10
26,SELL,102,25
27,SELL,102,13
28,BUY,100,84
29,SELL,96,91
30,SELL,97,19
31,BUY,103,32
32,SELL,100,21
33,BUY,101,19
34,SELL,105,85
35,BUY,99,94
36,SELL,104,93
37,BUY,102,93
38,SELL,95,58
39,SELL,100,5
40,BUY,98,85
41,SELL,103,28
42,BUY,104,59
43,SELL,105,29
44,BUY,100,28
45,SELL,98,81
46,SELL,95,2
47,BUY,99,78
48,SELL,97,30
49,SELL,95,82
50,SELL,102,72
51,BUY,103,78
52,BUY,95,93
53,SELL,102,12
54,BUY,104,86
55,BUY,99,34
56,SELL,95,38
57,SELL,102,33
58,BUY,103,60
59,BUY,98,89
60,BUY,100,39
61,SELL,105,72
62,BUY,103,73
63,BUY,97,78
64,SELL,100,5
65,BUY,102,43
66,SELL,95,44
67,SELL,97,4
68,BUY,102,48
69,SELL,101,51
70,BUY,104,14
71,SELL,101,42
72,BUY,103,21
73,SELL,105,8
74,BUY,98,70
75,SELL,104,93
76,BUY,103,30
77,BUY,96,88
78,SELL,103,22
79,SELL,99,90
80,BUY,100,33
81,BUY,96,90
82,SELL,98,91
83,SELL,97,23
84,BUY,99,1
85,BUY,98,87
86,SELL,95,17
87,BUY,100,42
88,SELL,97,70
89,SELL,97,34
90,SELL,105,17
91,SELL,97,52
92,BUY,102,41
93,SELL,95,98
94,SELL,105,25
95,SELL,102,50
96,BUY,98,15
97,SELL,105,4
98,SELL,101,98
99,BUY,99,6
100,SELL,98,35
101,BUY,101,24
102,BUY,96,54
103,SELL,99,99
104,BUY,97,60
105,BUY,95,77
106,SELL,97,25
107,BUY,103,37
108,SELL,101,99
109,BUY,99,54
110,BUY,95,80
111,BUY,96,33
112,BUY,97,70
113,SELL,104,60
114,SELL,102,23
115,SELL,102,52
116,BUY,97,35
117,BUY,96,18
118,BUY,102,40
119,SELL,100,94
120,BUY,96,68
121,SELL,103,12
122,SELL,105,55
123,BUY,102,26
124,SELL,102,18
125,BUY,105,56
126,BUY,100,27
127,SELL,105,10
128,BUY,104,56
129,BUY,104,64
130,SELL,98,28
131,SELL,102,73
132,BUY,104,86
133,BUY,99,78
134,BUY,102,86
135,SELL,105,17
136,BUY,104,67
137,BUY,101,1
138,SELL,96,95
139,BUY,105,1
140,SELL,96,31
141,BUY,100,70
142,SELL,102,100
143,SELL,96,72
144,SELL,97,50
145,SELL,96,75
146,SELL,102,75
147,BUY,102,66
148,SELL,101,55
149,SELL,100,37
150,BUY,97,26
151,SELL,101,98
152,BUY,99,49
153,BUY,104,64
154,SELL,103,36
155,BUY,102,58
156,BUY,100,87
157,SELL,97,73
158,SELL,98,58
159,SELL,103,65
160,SELL,96,100
161,BUY,100,96
162,SELL,105,89
163,SELL,103,2
164,BUY,105,34
165,SELL,101,97
166,BUY,105,99
167,BUY,95,30
168,SELL,99,20
169,BUY,97,32
170,SELL,96,38
171,BUY,99,94
172,BUY,102,94
173,BUY,95,10
174,SELL,101,68
175,BUY,98,15
176,SELL,100,30
177,BUY,98,75
178,BUY,102,14
179,BUY,102,36
180,BUY,98,30
181,BUY,99,82
182,SELL,104,62
183,BUY,95,52
184,SELL,100,63
185,BUY,97,65
186,SELL,102,40
187,BUY,95,90
188,BUY,98,3
189,SELL,101,10
190,SELL,101,68
191,SELL,98,47
192,SELL,100,99
193,SELL,104,60
194,BUY,95,26
195,SELL,95,83
196,SELL,98,54
197,SELL,98,53
